Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,Person_sequence,Person_attribute,Relation,DEV NOTES
P.Mich. V 238  V 222,9 Dec. 44,Contract,,Object:Barley | Money:24dr,Receiver,,Herodion,0,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 10,2 Sept. 46 BC,Lease,,Object:Land | LandType:Fruit garden,Lessor,,Galates,1,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 10,2 Sept. 46 BC,Lease,,Object:Land | LandType:Fruit garden,Lessee,,Tesenouphis,2,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 10,2 Sept. 46 BC,Lease,,Object:Land | LandType:Fruit garden,Lessee,,Wife,3,Gender:Female,Wife:Tesenouphis,
P.Mich. V 238 I 11,27 Sept. 46,Lease,,Object:Land,Lessee,,Galates,4,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 11,2 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Harmaeis,5,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 11,2 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Mother,6,NameType:Unknown | Gender:Unknown,Mother:Harmaeis | Wife:7,"This means ""the mother of Harmaeis and wifr of Pauus is a lessor in this transaction"""
P.Mich. V 238 I 11,2 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Paaus,7,NameType:Egyptian | Gender:Male,,
"P.Mich. V 238 I 12 = 240, 69",2 Sept. 46,Offer of residence,,Money:200dr,Creditor,,Nestesis,8,NameType:Egyptian | Profession:CEO,,
"P.Mich. V 238 I 12 = 240, 69",2 Sept. 46,Offer of residence,,Money:200dr,Debtor,,Thaubastis,9,NameType:Egyptian | Gender:Female,,
"P.Mich. V 238 I 13= 240 , 69",2 Sept. 46,Loan,,Money:200dr,Creditor,,Nestesis,10,NameType:Egyptian ,,
"P.Mich. V 238 I 13= 240 , 69",2 Sept. 46,Loan,,Money:200dr,Debtor,,Thaubastis,11,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 I 14 = 128 III 36 = 240 55,4 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessee,,Didumos,12,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 14 = 128 III 36 = 240 55,4 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Other,13,NameType:Unknown | Gender:Unknown,,
P.Mich. V 238 I 14 = 128 III 36 = 240 55,4 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Peteeus,14,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 15= 128 III 37 = 240 56,4 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessee,,Alexandros,15,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 15= 128 III 37 = 240 56,4 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Other,16,NameType:Unknown | Gender:Unknown,,
P.Mich. V 238 I 15= 128 III 37 = 240 56,4 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Peteeus,17,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 16= 128 III 38 = 240 57,6 Sept. 46,Deposit,,Money:460dr,Creditor,,Herakles,18,NameType:Greek | Gender:Female,,
P.Mich. V 238 I 16= 128 III 38 = 240 57,6 Sept. 46,Deposit,,Money:460dr,Debtor,,Kronion,19,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 17,6 Sept. 46,Mesiteia,,Object:Land | LandType:Kleros,Issuer,,Herakleides,20,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 17,6 Sept. 46,Mesiteia,,Object:Land | LandType:Kleros,Receiver,,Herodes,21,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 18,6 Sept. 46,Loan,,Money:832dr,Debtor,,Herakleides,22,NameType:Greek | Gender:Male,,Are these the same individuals? How should we label person_sequence?
P.Mich. V 238 I 18,6 Sept. 46,Loan,,Money:832dr,Creditor,,Herodes,23,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 19,9 Sept. 46,Receipt,,Object:Half_share_of_a_loan,Giver,,Herakleides,24,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 19,9 Sept. 46,Receipt,,Object:Half_share_of_a_loan,Recipient,,Lusimachos,25,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 20,9 Sept. 46,Confirmation,,,Issuer,,Kames,26,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 20,9 Sept. 46,Confirmation,,,Receiver,,Paches,27,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 21=128 III 39 = 240 58,9 Sept. 46,Work contract,,Money:48dr,Debtor,,Hermas,28,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 21=128 III 39 = 240 58,9 Sept. 46,Work contract,,Money:48dr,Creditor,,Ptolemaios,29,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 22,11 Sept. 46,Receipt,,Object:Wage_of_a_nurse,Recipient,,Thenmarsisouchos,30,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 I 22,11 Sept. 46,Receipt,,Object:Wage_of_a_nurse,Giver,,Zoilos,31,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 23,11 Sept. 46,Price,,Object:Wheat | Money:40dr,Receiver,,Haruotes,32,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 23,11 Sept. 46,Price,,Object:Wheat | Money:40dr,Issuer,,Orsenouphis,33,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 24 = 128 III 42 = 240 61,11 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Brother,34,NameType:Unknown | Gender:Unknown,Brother:Peteeus,Take out 'brother' as name?
P.Mich. V 238 I 24 = 128 III 42 = 240 61,11 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessee,,Mieus,35,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 24 = 128 III 42 = 240 61,11 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Peteeus,36,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 25 = 128 III 43 = 240 62,11 Sept. 46,Loan,,Money:100dr,Debtor,,Harmaeis,37,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 25 = 128 III 43 = 240 62,11 Sept. 46,Loan,,Money:100dr,Creditor,,Herakles,38,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 25 = 128 III 43 = 240 62,11 Sept. 46,Loan,,Money:100dr,Debtor,,Mother,39,NameType:Unknown | Gender:Unknown,Mother:Harmaeis,
P.Mich. V 238 I 26,11 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessee,,Didumos,40,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 26,11 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Mieus,41,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 26,11 Sept. 46,Lease,,Object:Land | LandType:Fodder_Land,Lessor,,Others,42,NameType:Unknown | Gender:Unknown,,Take out 'others' as name?
P.Mich. V 238 I 27= 128 III 45= 240 63,11 Sept. 46,Wet-nurse contract,,Object:Slave,Issuer,,Tapontos,43,NameType:Egyptian | Gender:Female,Wife:Harmiusis,
P.Mich. V 238 I 27= 128 III 45= 240 63,11 Sept. 46,Wet-nurse contract,,Object:Slave,Master,,Kronion,44,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 27= 128 III 45= 240 63,11 Sept. 46,Wet-nurse contract,,Object:Slave,Wet-nurse,,Tapontos,45,NameType:Egyptian | Gender:Female,Wife:Harmiusis,
P.Mich. V 238 I 28 =128 III 45= 240 63,13 Sept. 46,Loan,,Money:100dr,Debtor,,Harmiusis,46,NameType:Egyptian | Gender:Male,Husband:Tapontos,
P.Mich. V 238 I 28 =128 III 45= 240 63,13 Sept. 46,Loan,,Money:100dr,Creditor,,Kronion,47,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 28 =128 III 45= 240 63,13 Sept. 46,Loan,,Money:100dr,Debtor,,Tapontos,48,NameType:Egyptian | Gender:Female,Wife:Harmiusis,
P.Mich. V 238 I 29,13 Sept. 46,Loan,,Money:56dr,Creditor,,Maron,49,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 29,13 Sept. 46,Loan,,Money:56dr,Debtor,,Orseus,50,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 29,13 Sept. 46,Loan,,Money:56dr,Debtor,,Wife,51,NameType:Unknown | Gender:Female,Wife:Orseus,
P.Mich. V 238 I 3,30 Aug. 46,Mesiteia,,Object:Land | LandType:Arouras,Receiver,,Apollonios,52,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 3,30 Aug. 46,Mesiteia,,Object:Land | LandType:Arouras,Issuer,,Kronion,53,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 30,13 Sept. 46,Mortgage,,Object:Slave:Athena,Creditor,,Potamon,54,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 30,13 Sept. 46,Mortgage,,Object:Slave:Athena,Debtor,,Thenkebkis,55,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 I 31,13 Sept. 46,Loan,,Money:100dr,Creditor,,Potamon,56,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 31,13 Sept. 46,Loan,,Money:100dr,Debtor,,Psenkebkis,57,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 31,13 Sept. 46,Loan,,Money:100dr,Debtor,,Son,58,NameType:Unknown | Gender:Male,Son:Psenkebkis,
P.Mich. V 238 I 32,19 Sept. 46,Confirmation,,,Receiver,,Kronion,59,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 32,19 Sept. 46,Confirmation,,,Issuer,Oil producer,Taorsenouphis,60,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 I 33,19 Sept. 46,Lease,,,Lessor,,Haruotes,61,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 33,19 Sept. 46,Lease,,,Lessee,,Orseus,62,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 34,19 Sept. 46,Lease,,Object:Right_to_sell_a_crop,Lessor,,Herodion,63,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 34,19 Sept. 46,Lease,,Object:Right_to_sell_a_crop,Lessee,,Polemon,64,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 35,19 Sept. 46,Contract,,Object:Guarantee_of_immunity,Issuer,,Herakles,65,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 35,19 Sept. 46,Contract,,Object:Guarantee_of_immunity,Receiver,,Sisters,66,NameType:Unknown | Gender:Unknown,Sisters:Herakles,
P.Mich. V 238 I 36,19 Sept. 46,Release,,Object:Claims,Receiver,,Herakles,67,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 36,19 Sept. 46,Release,,Object:Claims,Issuer,,Others,68,NameType:Unknown | Gender:Unknown,,
P.Mich. V 238 I 36,19 Sept. 46,Release,,Object:Claims,Issuer,,Thaubastis,69,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 I 37,19 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Eutuchos,70,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 37,19 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Ptolemaios,71,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 38,19 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Phibion,72,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 38,19 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Psenosiris,73,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 39,19 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Maron,74,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 39,19 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Taorseus,75,NameType:Egyptian | Gender:Female,,
